scenario,method,step,mean_constraint_violation,std_constraint_violation,mean_invalid_action,std_invalid_action,mean_wait_hold_usage,std_wait_hold_usage,n_seeds
standard_severe,baseline_rl,0,0.0,0.0,0.0,0.0,0.0,0.0,3
standard_severe,baseline_rl,1,0.0,0.0,0.0,0.0,0.0,0.0,3
standard_severe,baseline_rl,2,0.0,0.0,0.0,0.0,0.0,0.0,3
standard_severe,baseline_rl,3,0.0,0.0,0.0,0.0,0.0,0.0,3
standard_severe,baseline_rl,4,0.0,0.0,0.0,0.0,0.0,0.0,3
standard_severe,baseline_rl,5,0.0,0.0,0.0,0.0,0.0,0.0,3
standard_severe,baseline_rl,6,0.0,0.0,0.0,0.0,0.0,0.0,3
standard_severe,baseline_rl,7,0.0,0.0,0.0,0.0,0.0,0.0,3
standard_severe,baseline_rl,8,0.0,0.0,0.0,0.0,0.0,0.0,3
standard_severe,baseline_rl,9,0.1111111111111111,0.19245008972987526,0.1111111111111111,0.19245008972987526,0.2222222222222222,0.19245008972987526,3
standard_severe,baseline_rl,10,0.0,0.0,0.0,0.0,0.1111111111111111,0.19245008972987526,3
standard_severe,baseline_rl,11,0.0,0.0,0.0,0.0,0.0,0.0,3
standard_severe,baseline_rl,12,0.0,0.0,0.0,0.0,0.2222222222222222,0.19245008972987526,3
standard_severe,baseline_rl,13,0.1111111111111111,0.19245008972987526,0.1111111111111111,0.19245008972987526,0.0,0.0,3
standard_severe,baseline_rl,14,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,3
standard_severe,baseline_rl,15,0.1111111111111111,0.19245008972987526,0.1111111111111111,0.19245008972987526,0.0,0.0,3
standard_severe,baseline_rl,16,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,3
standard_severe,baseline_rl,17,0.1111111111111111,0.19245008972987526,0.1111111111111111,0.19245008972987526,0.4444444444444444,0.3849001794597505,3
standard_severe,baseline_rl,18,0.2222222222222222,0.3849001794597505,0.2222222222222222,0.3849001794597505,0.3333333333333333,0.0,3
standard_severe,baseline_rl,19,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,3
standard_severe,baseline_rl,20,0.3333333333333333,0.5773502691896258,0.3333333333333333,0.5773502691896258,0.0,0.0,3
standard_severe,baseline_rl,21,0.0,0.0,0.0,0.0,0.7777777777777777,0.1924500897298753,3
standard_severe,baseline_rl,22,0.1111111111111111,0.19245008972987526,0.1111111111111111,0.19245008972987526,0.2222222222222222,0.19245008972987526,3
standard_severe,baseline_rl,23,0.1111111111111111,0.19245008972987526,0.1111111111111111,0.19245008972987526,0.3333333333333333,0.0,3
standard_severe,baseline_rl,24,0.2222222222222222,0.3849001794597505,0.2222222222222222,0.3849001794597505,0.5555555555555555,0.19245008972987526,3
standard_severe,baseline_rl,25,0.1111111111111111,0.19245008972987526,0.1111111111111111,0.19245008972987526,0.2222222222222222,0.3849001794597505,3
standard_severe,baseline_rl,26,0.1111111111111111,0.19245008972987526,0.1111111111111111,0.19245008972987526,0.4444444444444444,0.19245008972987526,3
standard_severe,baseline_rl,27,0.2222222222222222,0.3849001794597505,0.2222222222222222,0.3849001794597505,0.4444444444444444,0.19245008972987526,3
standard_severe,baseline_rl,28,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,3
standard_severe,baseline_rl,29,0.2222222222222222,0.3849001794597505,0.2222222222222222,0.3849001794597505,0.4444444444444444,0.3849001794597505,3
standard_severe,baseline_rl,30,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,3
standard_severe,baseline_rl,31,0.2222222222222222,0.3849001794597505,0.2222222222222222,0.3849001794597505,0.4444444444444444,0.3849001794597505,3
standard_severe,baseline_rl,32,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,3
standard_severe,baseline_rl,33,0.2222222222222222,0.3849001794597505,0.2222222222222222,0.3849001794597505,0.0,0.0,3
standard_severe,baseline_rl,34,0.1111111111111111,0.19245008972987526,0.1111111111111111,0.19245008972987526,0.7777777777777777,0.19245008972987523,3
standard_severe,baseline_rl,35,0.1111111111111111,0.19245008972987526,0.1111111111111111,0.19245008972987526,0.2222222222222222,0.19245008972987526,3
standard_severe,baseline_rl,36,0.2222222222222222,0.3849001794597505,0.2222222222222222,0.3849001794597505,0.6666666666666666,0.33333333333333337,3
standard_severe,baseline_rl,37,0.0,0.0,0.0,0.0,0.4444444444444444,0.19245008972987523,3
standard_severe,baseline_rl,38,0.2222222222222222,0.3849001794597505,0.2222222222222222,0.3849001794597505,0.0,0.0,3
standard_severe,baseline_rl,39,0.0,0.0,0.0,0.0,0.5555555555555555,0.1924500897298752,3
