scenario,method,n_valid,evidence_level,excluded_from_main,selection_score_mean,min_recovery_ratio_mean,critical_load_recovery_ratio_mean,safety_capacity_index_mean
standard_moderate,baseline_rl,3,per_seed_n3,False,0.4106497732987551,0.6225333246919844,0.8488253951072693,0.7535997437430711
standard_moderate,full_outer_loop,3,per_seed_n3,False,0.3763904354993576,0.6156598561339908,0.8521011703544192,0.751414261605892
standard_moderate,single_shot_llm,3,per_seed_n3,False,0.3971890678124676,0.6417820685439639,0.8604342374536726,0.744795815233551
resource_moderate,ablation_fixed_global,3,per_seed_n3,False,0.34349390505419836,0.5891944567362467,0.9010915524429745,0.8216001032127275
resource_moderate,baseline_rl,3,per_seed_n3,False,0.2348879274174019,0.43174915512402845,0.6557930575476753,0.667306441101763
resource_moderate,full_outer_loop,3,per_seed_n3,False,0.34696577356921304,0.5891594423188103,0.914987799194124,0.826451534529527
resource_moderate,single_shot_llm,3,per_seed_n3,False,0.346965773569213,0.5891594423188103,0.914987799194124,0.826451534529527
standard_severe,ablation_fixed_global,3,per_seed_n3,False,0.43308277495057734,0.622740861442354,0.8770474592844645,0.8249259122543865
standard_severe,baseline_rl,3,per_seed_n3,False,0.3132951339540027,0.5867565506034428,0.8495023283693526,0.7785239409738117
standard_severe,full_outer_loop,3,per_seed_n3,False,0.41903254133200174,0.6191268596384261,0.868503150012758,0.8206705033779145
standard_severe,single_shot_llm,3,per_seed_n3,False,0.41903254133200174,0.6191268596384261,0.868503150012758,0.8206705033779145
