scenario,method,seed,stage,usage_rate
standard_moderate,baseline_rl,42,middle,0.9651162790697675
standard_moderate,baseline_rl,42,late,0.03488372093023256
standard_moderate,baseline_rl,43,middle,0.8
standard_moderate,baseline_rl,43,late,0.2
standard_moderate,baseline_rl,44,middle,0.7725321888412017
standard_moderate,baseline_rl,44,late,0.22746781115879827
standard_moderate,single_shot_llm,42,middle,0.8202764976958525
standard_moderate,single_shot_llm,42,late,0.17972350230414746
standard_moderate,single_shot_llm,43,middle,0.7161016949152542
standard_moderate,single_shot_llm,43,late,0.2838983050847458
standard_moderate,single_shot_llm,44,middle,0.9222222222222223
standard_moderate,single_shot_llm,44,late,0.07777777777777778
standard_moderate,full_outer_loop,42,middle,0.8
standard_moderate,full_outer_loop,42,late,0.2
standard_moderate,full_outer_loop,43,middle,0.7161016949152542
standard_moderate,full_outer_loop,43,late,0.2838983050847458
standard_moderate,full_outer_loop,44,middle,0.9222222222222223
standard_moderate,full_outer_loop,44,late,0.07777777777777778
